doc,1,2,3,4,5,6,7,8,9,10,11,12,13
"text/352_(area= business, management and accounting;;economics, econometrics and finance)_(period= 2011-2017).txt",0.3705146610736847,0.013502097688615322,0.013502100482583046,0.013502314686775208,0.013502232730388641,0.013502025976777077,0.013502216897904871,0.4809620082378388,0.013502031564712523,0.013502026908099651,0.013502038083970548,0.01350210327655077,0.013502109795808792
"text/477_(area= biochemistry, genetics and molecular biology;;environmental science;;medicine)_(period= 2011-2017).txt",0.010507584549486635,0.01050735916942358,0.01050769817084074,0.010508069768548012,0.01050738338381052,0.010507428087294102,0.01050794404000044,0.41367074847221375,0.4707461893558502,0.01050732843577862,0.010507402941584587,0.010507357306778431,0.01050750445574522
text/362_(area= medicine)_(period= 2011-2017).txt,0.5283946394920349,0.010648800060153008,0.010646523907780649,0.010647756978869438,0.010646442882716656,0.010646472685039043,0.010648987255990505,0.3544855117797852,0.010646418668329716,0.010646400041878223,0.010646904818713663,0.010647090151906012,0.010648038238286972
text/259_(area= engineering;;social sciences)_(period= 2005-2010).txt,0.011454787105321884,0.011454719118773935,0.01145473960787058,0.011454753577709198,0.01145479455590248,0.2719210386276245,0.011454954743385315,0.5127388834953308,0.011454724706709385,0.01145464088767767,0.10079260170459747,0.011454641819000244,0.011454698629677296
text/36_(area= medicine)_(period= 1998-2004).txt,0.012720587663352491,0.012720804661512377,0.012720995582640171,0.012720640748739244,0.01272058952599764,0.01272053923457861,0.01272057369351387,0.4416060447692871,0.0127206239849329,0.012722712010145187,0.012720509432256222,0.4184648096561432,0.012720596976578236
text/253_(area= medicine)_(period= 2005-2010).txt,0.014499280601739885,0.014499002136290072,0.014499034732580185,0.014499003998935224,0.014499042183160782,0.014499050565063953,0.014499162323772909,0.6518648862838745,0.014499026350677012,0.014499009586870669,0.18864545226097107,0.0144990598782897,0.014499015174806118
text/540_(area= arts and humanities;;social sciences)_(period= 2011-2017).txt,0.009705792181193829,0.009705726057291031,0.009705774486064913,0.009705647826194765,0.009705640375614166,0.4594652354717255,0.009705839678645134,0.4337717294692993,0.009705853648483751,0.00970571395009756,0.00970568135380745,0.00970569159835577,0.009705695323646069
text/518_(area= computer science;;decision sciences;;social sciences)_(period= 2011-2017).txt,0.012199008837342262,0.012204250320792198,0.012198278680443764,0.012199021875858309,0.012198036536574364,0.01220099348574877,0.012197528034448624,0.8536144495010376,0.0121981929987669,0.012197031639516355,0.012198892422020435,0.012196937575936316,0.012197387404739857
text/473_(area= medicine)_(period= 2011-2017).txt,0.009250272996723652,0.0092503409832716,0.009250304661691187,0.009250304661691187,0.009250338189303877,0.009250420145690441,0.009250330738723278,0.653860330581665,0.009250313974916937,0.009250315837562084,0.009250251576304436,0.00925026834011078,0.24438613653182986
text/108_(area= medicine)_(period= 1998-2004).txt,0.00975743308663368,0.3266603648662567,0.009757556952536106,0.00975727941840887,0.009757264517247677,0.009757389314472677,0.009757386520504951,0.566008985042572,0.009757257997989656,0.009757298976182938,0.009757342748343945,0.009757217951118946,0.009757233783602716
text/605_(area= computer science;;decision sciences;;social sciences)_(period= 2011-2017).txt,0.011826508678495884,0.011826436035335064,0.011827739886939527,0.01182651240378618,0.011836346238851549,0.011839048005640508,0.011831744574010372,0.6371597051620483,0.011829606257379057,0.01182742044329643,0.011827131733298302,0.011829899623990059,0.23271189630031586
text/566_(area= health professions;;medicine)_(period= 2011-2017).txt,0.011698240414261818,0.01169826090335846,0.060320112854242325,0.4968889951705933,0.011696914210915564,0.011697303503751756,0.011698067188262941,0.32581281661987305,0.011700217612087728,0.01169830746948719,0.011697432026267052,0.011696500703692436,0.011696850880980492
text/22_(area= medicine)_(period= 1998-2004).txt,0.009297913871705532,0.009297726675868034,0.009299924597144129,0.00929764099419117,0.009297838434576988,0.009297912940382956,0.009297660551965237,0.5949914455413818,0.302730917930603,0.009297705255448818,0.009297615848481657,0.0092976251617074,0.00929803866893053
