doc,1,2,3,4,5
"text/352_(area= business, management and accounting;;economics, econometrics and finance)_(period= 2011-2017).txt",0.9874416589736938,0.0031498530879616737,0.003130280878394842,0.0031417934224009514,0.0031363859307020903
"text/477_(area= biochemistry, genetics and molecular biology;;environmental science;;medicine)_(period= 2011-2017).txt",0.002794726053252816,0.9888548851013184,0.002793560503050685,0.002774512628093362,0.0027823252603411674
text/362_(area= medicine)_(period= 2011-2017).txt,0.001560151344165206,0.5609856843948364,0.4343342185020447,0.0015566914808005095,0.0015632527647539973
text/259_(area= engineering;;social sciences)_(period= 2005-2010).txt,0.9922626614570618,0.0019298723200336099,0.0019377876305952668,0.0019324395107105374,0.001937240594998002
text/36_(area= medicine)_(period= 1998-2004).txt,0.0014851640444248915,0.9940546751022339,0.0014979350380599499,0.0014752547722309828,0.0014869744190946221
text/253_(area= medicine)_(period= 2005-2010).txt,0.006508923135697842,0.006389373913407326,0.9743173122406006,0.006392347160726786,0.006392050534486771
text/540_(area= arts and humanities;;social sciences)_(period= 2011-2017).txt,0.9895198941230774,0.0026186013128608465,0.002608389826491475,0.0026302554178982973,0.0026228181086480618
text/518_(area= computer science;;decision sciences;;social sciences)_(period= 2011-2017).txt,0.001568322884850204,0.0015477314591407776,0.0015493797836825252,0.9937828779220581,0.0015516635030508041
text/473_(area= medicine)_(period= 2011-2017).txt,0.0018576477887108922,0.001860324409790337,0.9925929307937622,0.0018367256270721555,0.0018523780163377523
text/108_(area= medicine)_(period= 1998-2004).txt,0.2692785859107971,0.002344889100641012,0.002361452905461192,0.002342532854527235,0.7236725091934204
text/605_(area= computer science;;decision sciences;;social sciences)_(period= 2011-2017).txt,0.9930621981620789,0.001730449846945703,0.0017291231779381633,0.0017360418569296598,0.0017421781085431576
text/566_(area= health professions;;medicine)_(period= 2011-2017).txt,0.0010675789089873433,0.0010658453684300184,0.0010635022772476077,0.9957371950149536,0.0010658547980710864
text/22_(area= medicine)_(period= 1998-2004).txt,0.00174143526237458,0.9930298924446106,0.00175109610427171,0.0017347499961033463,0.0017427970888093114
"text/599_(area= medicine;;pharmacology, toxicology and pharmaceutics)_(period= 2011-2017).txt",0.0014371941797435284,0.0014332332648336887,0.9942770004272461,0.0014214359689503908,0.0014311770210042596
"text/271_(area= agricultural and biological sciences;;biochemistry, genetics and molecular biology;;medicine)_(period= 2005-2010).txt",0.0013153485488146544,0.5335207581520081,0.0013270066119730473,0.0013072161236777902,0.46252965927124023
text/568_(area= immunology and microbiology;;medicine)_(period= 2011-2017).txt,0.0018046863842755556,0.02215372584760189,0.2593812346458435,0.7148594260215759,0.0018009190680459142
text/466_(area= medicine;;social sciences)_(period= 2011-2017).txt,0.003467696951702237,0.0034404222387820482,0.003441202687099576,0.9861890077590942,0.0034616331104189157
text/498_(area= medicine)_(period= 2011-2017).txt,0.2751111090183258,0.24615341424942017,0.002579978434368968,0.2815665006637573,0.1945890486240387
text/329_(area= health professions;;medicine;;nursing)_(period= 2011-2017).txt,0.5230522155761719,0.002181448508054018,0.41360265016555786,0.05898924916982651,0.002174424473196268
text/140_(area= medicine)_(period= 2005-2010).txt,0.09857174009084702,0.0027919942513108253,0.002812368096783757,0.8930230140686035,0.0028008855879306793
"text/512_(area= biochemistry, genetics and molecular biology;;medicine)_(period= 2011-2017).txt",0.12022409588098526,0.002840993460267782,0.0028235292993485928,0.0028345142491161823,0.8712769150733948
text/598_(area= )_(period= 2011-2017).txt,0.0020941223483532667,0.9915893077850342,0.0021013780497014523,0.0021056870464235544,0.0021094796247780323
text/302_(area= )_(period= 2011-2017).txt,0.0010461622150614858,0.9958215951919556,0.001045017153955996,0.0010408058296889067,0.0010463754879310727
text/392_(area= medicine;;social sciences)_(period= 2011-2017).txt,0.9899129271507263,0.0025370819494128227,0.0025159697979688644,0.0025138959754258394,0.002520111622288823
text/198_(area= health professions;;social sciences)_(period= 2005-2010).txt,0.0024498768616467714,0.9902374744415283,0.002426220802590251,0.002435915404930711,0.002450538333505392
text/426_(area= nursing)_(period= 2011-2017).txt,0.003362355986610055,0.0033420338295400143,0.21336869895458221,0.0033150441013276577,0.776611864566803
text/428_(area= health professions;;social sciences)_(period= 2011-2017).txt,0.41020941734313965,0.5822857618331909,0.0025086922105401754,0.0024897262919694185,0.0025063827633857727
text/99_(area= psychology)_(period= 1998-2004).txt,0.003702247980982065,0.9851886034011841,0.003704522969201207,0.003688333323225379,0.003716288600116968
text/361_(area= psychology)_(period= 2011-2017).txt,0.0018109203083440661,0.9927093386650085,0.0018317882204428315,0.001815601484850049,0.0018323693657293916
text/480_(area= psychology;;social sciences)_(period= 2011-2017).txt,0.0011982282157987356,0.1950627863407135,0.00119417579844594,0.0011926244478672743,0.8013522028923035
text/452_(area= nursing)_(period= 2011-2017).txt,0.0021851572673767805,0.002175730187445879,0.9912813305854797,0.0021671068388968706,0.002190688857808709
text/560_(area= medicine;;neuroscience)_(period= 2011-2017).txt,0.0015149760292842984,0.9939550757408142,0.0015097460709512234,0.001506886212155223,0.0015132589032873511
text/488_(area= medicine)_(period= 2011-2017).txt,0.39850953221321106,0.1836872398853302,0.41421473026275635,0.0017877764767035842,0.00180075503885746
text/548_(area= )_(period= 2011-2017).txt,0.006391467992216349,0.9744064807891846,0.00635161716490984,0.006358333397656679,0.0064921011216938496
text/52_(area= medicine;;nursing)_(period= 1998-2004).txt,0.0013737846165895462,0.295531302690506,0.7003448605537415,0.0013688667677342892,0.0013812180841341615
text/379_(area= arts and humanities;;social sciences)_(period= 2011-2017).txt,0.78522789478302,0.20899434387683868,0.0019373485120013356,0.0019175634952262044,0.0019228039309382439
text/483_(area= social sciences)_(period= 2011-2017).txt,0.5165647864341736,0.12903955578804016,0.002328999573364854,0.002308589406311512,0.3497580289840698
text/429_(area= nursing)_(period= 2011-2017).txt,0.0026065667625516653,0.002595482859760523,0.9896376729011536,0.002564813941717148,0.002595418831333518
text/87_(area= medicine;;psychology)_(period= 1998-2004).txt,0.0015418666880577803,0.9466477632522583,0.02679457888007164,0.00153396837413311,0.02348177880048752
"text/164_(area= arts and humanities;;computer science;;economics, econometrics and finance;;engineering;;social sciences)_(period= 2005-2010).txt",0.9381114840507507,0.0018216893076896667,0.056449901312589645,0.0018079661531373858,0.001808962319046259
text/427_(area= nursing)_(period= 2011-2017).txt,0.015844669193029404,0.015693437308073044,0.015663927420973778,0.01554593164473772,0.9372520446777344
"text/368_(area= biochemistry, genetics and molecular biology)_(period= 2011-2017).txt",0.002281544730067253,0.990911066532135,0.0022753984667360783,0.002264028415083885,0.00226797116920352
text/186_(area= medicine)_(period= 2005-2010).txt,0.0023379819467663765,0.9906471371650696,0.0023371726274490356,0.002326574642211199,0.002351114060729742
text/261_(area= mathematics)_(period= 2005-2010).txt,0.004693801514804363,0.004672629293054342,0.7182570695877075,0.004628215450793505,0.26774826645851135
text/173_(area= medicine;;psychology)_(period= 2005-2010).txt,0.0019768429920077324,0.9920774698257446,0.001995271071791649,0.001967891352251172,0.0019825398921966553
text/422_(area= arts and humanities;;psychology;;social sciences)_(period= 2011-2017).txt,0.2614296078681946,0.7317017912864685,0.0022824492771178484,0.002296561375260353,0.002289549680426717
"text/211_(area= environmental science;;pharmacology, toxicology and pharmaceutics)_(period= 2005-2010).txt",0.0020054075866937637,0.9919703006744385,0.0020053270272910595,0.0020239066798239946,0.001995050348341465
text/223_(area= psychology)_(period= 2005-2010).txt,0.0022251426707953215,0.9910580515861511,0.0022396824788302183,0.0022222986444830894,0.0022548127453774214
text/191_(area= medicine;;social sciences)_(period= 2005-2010).txt,0.6013349294662476,0.0038304482586681843,0.0038663800805807114,0.0038452958688139915,0.3871229588985443
text/372_(area= medicine)_(period= 2011-2017).txt,0.5750328302383423,0.3173603415489197,0.0019868388772010803,0.0019856588914990425,0.10363432765007019
text/91_(area= medicine;;neuroscience)_(period= 1998-2004).txt,0.0024099270813167095,0.7348968386650085,0.2578985095024109,0.002387158339843154,0.002407549414783716
"text/119_(area= biochemistry, genetics and molecular biology;;immunology and microbiology;;pharmacology, toxicology and pharmaceutics)_(period= 1998-2004).txt",0.0026638631243258715,0.5701994299888611,0.42185544967651367,0.0026301336474716663,0.0026511293835937977
"text/353_(area= business, management and accounting;;economics, econometrics and finance)_(period= 2011-2017).txt",0.9854643940925598,0.0036341622471809387,0.0036521342117339373,0.003619961906224489,0.0036293971352279186
text/243_(area= medicine)_(period= 2005-2010).txt,0.5314182043075562,0.002350692404434085,0.4614272117614746,0.002344636246562004,0.0024593104608356953
text/67_(area= medicine)_(period= 1998-2004).txt,0.4726857841014862,0.2778584957122803,0.24568141996860504,0.0018749787705019116,0.0018993000267073512
text/516_(area= medicine;;nursing;;social sciences)_(period= 2011-2017).txt,0.9913198947906494,0.002177007030695677,0.0021706917323172092,0.002156089060008526,0.002176327398046851
text/309_(area= mathematics)_(period= 2011-2017).txt,0.0036116705741733313,0.0035776104778051376,0.0035655638203024864,0.003571998793631792,0.985673189163208
text/184_(area= nursing)_(period= 2005-2010).txt,0.0036427814047783613,0.9853601455688477,0.003668969264253974,0.0036561177112162113,0.003671999555081129
text/32_(area= medicine)_(period= 1998-2004).txt,0.0022497407626360655,0.40084967017173767,0.5924258828163147,0.00223120697773993,0.0022434948477894068
text/539_(area= medicine)_(period= 2011-2017).txt,0.7995588779449463,0.003348198253661394,0.1904480755329132,0.003307728096842766,0.0033370887394994497
text/73_(area= medicine)_(period= 1998-2004).txt,0.00257333111949265,0.7592526078224182,0.23307903110980988,0.0025422687176615,0.0025527304969727993
text/122_(area= medicine;;nursing)_(period= 1998-2004).txt,0.8326327800750732,0.002409970620647073,0.0024157597217708826,0.16011357307434082,0.002427879488095641
