topic,word,prop
0,form,0.003972870763391256
0,suscept,0.003729224670678377
0,examin,0.003220377257093787
0,paper,0.0031754674855619673
0,wave,0.003175436519086361
0,case,0.002874380676075816
0,increas,0.0028698700480163093
0,similar,0.002793696941807866
0,type,0.0027501541189849377
0,connect,0.002674359362572432
0,previous,0.0026481840759515762
0,regress,0.0026466622948646545
0,cohort,0.0025649527087807647
0,sampl,0.0024414893705397844
0,discredit,0.0023752793204039327
0,pain,0.002348453970625997
0,measl,0.002334780525416136
0,find,0.0022653420455753803
0,immunis,0.002249629469588399
0,investig,0.0022243645507842307
0,health,0.002127715852111578
0,data,0.002076348289847374
0,consist,0.0020658890716731553
0,base,0.002053906675428152
0,direct,0.0020354392472654577
0,geier,0.0020028850995004177
0,virus,0.001995505765080452
0,consecut,0.0019923835061490536
0,problem,0.001977843232452869
0,studi,0.001965670613572001
1,hospit,0.009696096181869509
1,royal,0.009500769898295404
1,free,0.009026264771819116
1,refer,0.0067370580509305
1,februari,0.0060573010705411425
1,syndrom,0.005946591030806303
1,colleagu,0.005376334302127361
1,lancet,0.004961092025041579
1,london,0.00495520094409585
1,investig,0.004929680377244949
1,bowel,0.004621449392288922
1,various,0.0042195264250040046
1,tripl,0.004175413865596056
1,symptom,0.003883400466293097
1,diseas,0.003804478328675032
1,present,0.0037656161002814774
1,paper,0.0036086989566683774
1,research,0.0035368970129638906
1,development,0.003434998681768775
1,measl,0.0033785831183195114
1,begin,0.0033170946408063173
1,approv,0.003308416809886694
1,regress,0.0032817265018820767
1,publish,0.0032186240423470736
1,andrew,0.003132842481136322
1,group,0.003107705619186163
1,consecut,0.0030621138866990805
1,mump,0.003026261925697327
1,sclerosi,0.0030091435182839628
1,crohn,0.002987917978316545
2,valu,0.005398006178438664
2,worth,0.00535515183582902
2,reuter,0.0052458043210208425
2,thomson,0.004753548186272383
2,factor,0.0039679803885519505
2,articl,0.003957981709390879
2,impact,0.003929757047444582
2,demonstr,0.0033655990846455093
2,greater,0.003301225835457444
2,comparison,0.003233068622648716
2,health,0.003140757326036692
2,suggest,0.002999505260959268
2,time,0.0029579889960587025
2,organ,0.0029464352410286665
2,journal,0.002936874981969595
2,model,0.002814051927998662
2,would,0.002779759932309389
2,base,0.0026740790344774727
2,figur,0.002600969048216939
2,regard,0.0025186794809997077
2,concern,0.002458149334415793
2,also,0.0024565597996115685
2,risk,0.0024510519579052925
2,profession,0.002395218471065164
2,scientif,0.0022867524530738588
2,roach,0.002275096485391259
2,lowest,0.0021527288481593128
2,presum,0.002130688400939107
2,tempor,0.0020965049043297768
2,littl,0.002090053167194128
3,also,0.0032064286060631275
3,similar,0.0030130010563880205
3,biopsi,0.0028907652013003826
3,follicl,0.002798151457682252
3,fals,0.0026272188406437635
3,numer,0.0025203663390129805
3,antivaccin,0.00240163691341877
3,articl,0.0023957674857228994
3,retract,0.002386851003393531
3,refut,0.0022527268156409264
3,util,0.002221971983090043
3,culmin,0.002165075158700347
3,ill,0.002152020577341318
3,paper,0.0020655314438045025
3,countri,0.002053578617051244
3,age,0.0020131526980549093
3,thus,0.002005031798034907
3,condit,0.001982099842280149
3,case,0.0019701053388416767
3,conflict,0.0019665199797600508
3,manner,0.001949798665009439
3,swine,0.0019213801715523005
3,ileal,0.0019184713019058108
3,increas,0.0018613353604450824
3,influenza,0.001826319028623402
3,classen,0.0018188713584095237
3,mind,0.0017874585464596746
3,regress,0.0017789537087082863
3,link,0.0017644495237618683
3,creat,0.001740356907248497
4,effect,0.003673184895887971
4,immun,0.003344682510942221
4,focus,0.0032652379013597965
4,behaviour,0.0032458908390253787
4,research,0.0031504561193287373
4,associ,0.0031242684926837683
4,form,0.0029615561943501234
4,respons,0.002944041742011905
4,report,0.002876260317862034
4,concern,0.0028597828932106486
4,intestin,0.0027932622469961643
4,link,0.002780756913125515
4,physician,0.0027198016177862887
4,immunis,0.002718157134950161
4,although,0.002704740269109607
4,retract,0.0026976140215992928
4,propos,0.0026781270280480385
4,featur,0.002659110352396965
4,measl,0.002526753349229693
4,would,0.0025226729921996593
4,compon,0.0024991645477712154
4,cite,0.002491346560418606
4,council,0.0024803923442959785
4,development,0.002470328938215971
4,progress,0.00242547201924026
4,possibl,0.002381694735959172
4,respond,0.002342368010431528
4,permeabl,0.0022687623277306557
4,causat,0.0022551545407623053
4,list,0.0022510767448693514
5,subgroup,0.003857845440506935
5,short,0.0033172769472002983
5,discours,0.0029207649640738964
5,controversi,0.0028724635485559698
5,problem,0.002797495573759079
5,govern,0.0027686588000506163
5,articl,0.002759357215836644
5,nation,0.002721875440329313
5,within,0.002448731567710638
5,newspap,0.0023815189488232136
5,permeabl,0.0023406618274748325
5,relat,0.0023316685110330577
5,content,0.002305629896000028
5,exceed,0.002284321002662182
5,say,0.002103804377838969
5,physic,0.0020625188481062646
5,stori,0.0020510938484221697
5,hedg,0.0020158209372311826
5,time,0.0020008673891425133
5,section,0.001985483570024371
5,serv,0.001978276064619422
5,caus,0.0019626186694949865
5,incid,0.0019481097115203734
5,confirm,0.001910139457322657
5,threat,0.0018814938375726344
5,scientist,0.0018729016883298755
5,falsif,0.00184551056008786
5,cohort,0.001825531478971243
5,constip,0.001812290167436004
5,specul,0.0017392284935340285
6,disord,0.003266366198658943
6,bowel,0.0030475726816803217
6,hypothesi,0.0028944984078407288
